Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Share of world total MA-5 (RHS),6.815701809,7.131689887,11.11064887,11.80883537,10.71224291,13.27947038,14.14797932,11.93298123,10.56765858,11.77309042,11.37822793,10.41339934,9.144259565,9.620792468,9.217722696,11.57676689,14.44022397,16.82799063,22.78943617,28.61663186,,,57.96245,57.84618,57.51728,56.82907,56.56755,56.88602,57.33072,57.1017,56.25348,56.13423,55.99477386,55.76225662,55.75349,55.59552383,55.57875,55.37507,55.28999,55.35913467,56.81878,56.65972,56.5490036
